Symbol,Name,Sector,Industry,MarketCap,SummaryQuote,ADRTSO,?field0,LastSale,
"DXGE","WisdomTree Germany Hedged Equity Fund",null,null,64699000,"https://www.nasdaq.com/symbol/dxge",null,null,28.13,
"RFIL","RF Industries Ltd.","Capital Goods","Electrical Products",64098936.9,"https://www.nasdaq.com/symbol/rfil",null,null,6.9,
"ROKU","Roku Inc.","Consumer Services","Television Services",5543660842.2,"https://www.nasdaq.com/symbol/roku",null,2017,52.26,
"CRAI","CRA InternationalInc.","Miscellaneous","Other Consumer Services",333694459.7,"https://www.nasdaq.com/symbol/crai",null,1998,41.3,
"WDC","Western Digital Corporation","Technology","Electronic Components",12005783663.16,"https://www.nasdaq.com/symbol/wdc",null,null,41.37,
"PME","Pingtan Marine Enterprise Ltd.",null,null,186569925.08,"https://www.nasdaq.com/symbol/pme",null,null,2.36,
"FRTA","Forterra Inc.","Capital Goods","Building Materials",293458587.81,"https://www.nasdaq.com/symbol/frta",null,2016,4.57,
"CMCO","Columbus McKinnon Corporation","Capital Goods","Construction/Ag Equipment/Trucks",819228000,"https://www.nasdaq.com/symbol/cmco",null,1996,35.16,
"DSLV","Credit Suisse AG","Finance","Investment Bankers/Brokers/Service",14421530.24,"https://www.nasdaq.com/symbol/dslv",null,null,34.84,
"REPL","Replimune Group Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",382114967.92,"https://www.nasdaq.com/symbol/repl",null,2018,12.11,
"PCMI","PCM Inc.","Consumer Services","Catalog/Specialty Distribution",215548864.5,"https://www.nasdaq.com/symbol/pcmi",null,null,17.75,
"ATISW","Attis Industries Inc.","Basic Industries","Miscellaneous",0,"https://www.nasdaq.com/symbol/atisw",null,null,0.15,
"DFRG","Del Frisco&#39;s Restaurant Group Inc.","Consumer Services","Restaurants",237573895.86,"https://www.nasdaq.com/symbol/dfrg",null,2012,7.13,
"IKNX","Ikonics Corporation","Miscellaneous","Industrial Machinery/Components",19637174.7,"https://www.nasdaq.com/symbol/iknx",null,null,9.9,
"BATRK","Liberty Media Corporation","Consumer Services","Broadcasting",1291435362,"https://www.nasdaq.com/symbol/batrk",null,null,25.34,
"MBCN","Middlefield Banc Corp.","Finance","Major Banks",151185947,"https://www.nasdaq.com/symbol/mbcn",null,null,46.75,
"TRCH","Torchlight Energy Resources Inc.","Energy","Oil & Gas Production",55979838.424,"https://www.nasdaq.com/symbol/trch",null,null,0.799,
"CYAN","Cyanotech Corporation","Consumer Durables","Specialty Chemicals",19268310.3795,"https://www.nasdaq.com/symbol/cyan",null,null,3.3285,
"CETXW","Cemtrex Inc.","Capital Goods","Industrial Machinery/Components",0,"https://www.nasdaq.com/symbol/cetxw",null,null,0.0401,
"AAXJ","iShares MSCI All Country Asia ex Japan Index Fund",null,null,3393936000,"https://www.nasdaq.com/symbol/aaxj",null,null,62.16,
"MAGS","Magal Security Systems Ltd.","Consumer Durables","Telecommunications Equipment",116267318.3364,"https://www.nasdaq.com/symbol/mags",null,1993,5.0457,
"FSAC","Federal Street Acquisition Corp.","Finance","Business Services",151849363.68,"https://www.nasdaq.com/symbol/fsac",null,2017,10.08,
"LIVE","Live Ventures Incorporated","Finance","Finance/Investors Services",13230398.25,"https://www.nasdaq.com/symbol/live",null,null,6.75,
"ARCI","Appliance Recycling Centers of America Inc.","Consumer Services","Home Furnishings",6297721.4883,"https://www.nasdaq.com/symbol/arci",null,null,0.7433,
"AXON","Axovant Sciences Ltd.","Health Care","Major Pharmaceuticals",234395112.96,"https://www.nasdaq.com/symbol/axon",null,null,1.92,
"TSRO","TESARO Inc.","Health Care","Major Pharmaceuticals",1711547162.43,"https://www.nasdaq.com/symbol/tsro",null,2012,31.17,
"CYTXZ","Cytori Therapeutics Inc.","Health Care","Medical/Dental Instruments",0,"https://www.nasdaq.com/symbol/cytxz",null,null,0.005,
"JVA","Coffee Holding Co. Inc.","Consumer Non-Durables","Food Distributors",24843790.14,"https://www.nasdaq.com/symbol/jva",null,2005,4.42,
